"Freq [GHz]","mag(S(1,1)) []","mag(S(2,1)) []"
90,0.0571360278374298,0.00608415796744684
90.1,0.0257099178070732,0.00596788124477904
90.2,0.0083362703082279,0.00578802220243335
90.3,0.0409517898740498,0.00557563446027428
90.4,0.0730503121876708,0.00536014817956125
90.5,0.102946689705152,0.00516558443319093
90.6,0.129655235620772,0.00501140952735186
90.7,0.152452896974209,0.00491266181716927
90.8,0.170838234606941,0.00487843321072559
90.9,0.184481511560937,0.00490996931796545
91,0.193176313268349,0.00500003943992054
91.1,0.196804706406609,0.00513432886252994
91.2,0.195320256769071,0.0052942736931756
91.3,0.18874759160271,0.0054601141542824
91.4,0.177194265940247,0.00561326573842638
91.5,0.160869519153693,0.00573778406978175
91.6,0.140104224957617,0.00582114762009951
91.7,0.11536654943212,0.00585469198321289
91.8,0.0872685382076315,0.00583394185172157
91.9,0.056560411888249,0.00575894110751202
92,0.0241154193064907,0.00563454716971718
92.1,0.00922082930756897,0.00547055703473155
92.2,0.0422438308058454,0.00528147274730917
92.3,0.0741447466755299,0.00508568771679956
92.4,0.103970461519075,0.00490388566931871
92.5,0.130898929350062,0.00475654104314797
92.6,0.154232841946144,0.00466070256495163
92.7,0.173410308481635,0.00462676731634674
92.8,0.188003940863026,0.00465640420640991
92.9,0.197710814903152,0.00474256760361353
93,0.20233785164594,0.00487152763393129
93.1,0.201787477310858,0.00502585219543854
93.2,0.19604783406896,0.00518715104302208
93.3,0.185190623823452,0.0053379941323432
93.4,0.169378020018843,0.00546304764255133
93.5,0.148878012953286,0.00554974987958265
93.6,0.124085120652604,0.00558882968391673
93.7,0.0955409522116034,0.00557482892875528
93.8,0.0639479280062751,0.0055066431462481
93.9,0.0301786224351682,0.00538798585095567
94,0.0053056612572597,0.00522762418681393
94.1,0.0401446710241671,0.00503921872856706
94.2,0.0743849916643219,0.00484060470737643
94.3,0.106696202464201,0.00465235278589932
94.4,0.136152549389502,0.00449547388711934
94.5,0.161984216290082,0.00438831365350045
94.6,0.183583574764603,0.00434315789161257
94.7,0.200495723698761,0.0043636664982048
94.8,0.21239610631183,0.00444431346564845
94.9,0.219063982386603,0.00457209555612531
95,0.220360133255884,0.00472955830968644
95.1,0.216214964369054,0.00489779637503279
95.2,0.20663038404127,0.0050586370963597
95.3,0.191695897303321,0.00519595008716085
95.4,0.17161624811045,0.00529639837293522
95.5,0.146744691112591,0.00534996366613499
95.6,0.117613131871807,0.00535044302637379
95.7,0.0849495733998136,0.00529596702452109
95.8,0.0496805602876705,0.00518948072035125
95.9,0.0130804409816616,0.0050390626923657
96,0.0247961451427881,0.00485791922662924
96.1,0.0612288553575475,0.00466385503329396
96.2,0.0958836794930339,0.0044779718035349
96.3,0.127677811006423,0.00432233030042154
96.4,0.155730892713992,0.00421651036789907
96.5,0.179320023391598,0.00417362979073289
96.6,0.197868119669715,0.00419723538256312
96.7,0.21092915289817,0.00428063766616884
96.8,0.218175171128099,0.00440905485075825
96.9,0.219390421417085,0.00456330712275513
97,0.214475050449939,0.0047233331674255
97.1,0.203457765526311,0.00487058132790046
97.2,0.186514363091236,0.00498927063818237
97.3,0.163987797285486,0.00506695284272273
97.4,0.136406478341395,0.0050948130764842
97.5,0.104504378114311,0.00506799937578353
97.6,0.0692839072240078,0.00498611940699302
97.7,0.0325758884244094,0.00485391144405948
97.8,0.0161230667884896,0.00468195762528244
97.9,0.0510475289505863,0.00448712215811188
98,0.0889855388454192,0.00429214514572579
98.1,0.125044289203384,0.00412358059117229
98.2,0.157729107480941,0.00400738075484314
98.3,0.185894493589451,0.00396252984736464
98.4,0.208605569542241,0.00399522182643026
98.5,0.225141528071172,0.00409711098568037
98.6,0.235004845070473,0.00424881654593338
98.7,0.237913932873782,0.00442608512266624
98.8,0.233776600490659,0.00460506205565491
98.9,0.222651186150678,0.00476510282783242
99,0.204708743952367,0.00488953782516173
99.1,0.180213417393124,0.00496546723729497
99.2,0.149538624724656,0.00498352509485496
99.3,0.113232480025368,0.0049382511142543
99.4,0.0721349767710448,0.00482941284746378
99.5,0.0275689216245194,0.00466418991116013
99.6,0.0194154648192416,0.00445938667095401
99.7,0.0653859255005213,0.00424188028438077
99.8,0.108847070114704,0.00404507903458469
99.9,0.147583235897358,0.00390057156383412
100,0.180156941059425,0.00382789867130408
