"Freq [GHz]","mag(S(1,1)) []","mag(S(2,1)) []"
40,0.954460360249171,0.29833776280086
40.03,0.938090739794499,0.346389612880943
40.06,0.915291503987241,0.402792083746408
40.09,0.883647020316113,0.468153760517264
40.12,0.840229722096596,0.542230591266739
40.15,0.78201203313942,0.623263331205318
40.18,0.706833335332453,0.707380121337039
40.21,0.614869318683012,0.788629013505266
40.24,0.509895407798646,0.860236405359513
40.27,0.399143569316813,0.91688843981863
40.3,0.291282008510366,0.956637230886489
40.33,0.193712439209334,0.981058352441674
40.36,0.110931773753311,0.993828024142979
40.39,0.0445076374990468,0.999009044105333
40.42,0.00629070162129098,0.999980213340796
40.45,0.0423970711540003,0.999100839934371
40.48,0.066264117233586,0.997802118041083
40.51,0.0796694304575355,0.99682133898236
40.54,0.0843849847287416,0.996433226238622
40.57,0.0820059356967115,0.996631841007753
40.6,0.0739624577591354,0.997261026433019
40.63,0.0615470885438148,0.998104180880821
40.66,0.0459388246158327,0.998944254897599
40.69,0.0282196790354722,0.999601745554262
40.72,0.00941258552606321,0.999955700635641
40.75,0.00987846825592042,0.999951206742066
40.78,0.0284112336531132,0.999596319422149
40.81,0.0457834390134966,0.998951388563076
40.84,0.0613914316728072,0.998113767121345
40.87,0.0747715282239446,0.997200691218702
40.9,0.0855645106930984,0.996332632462597
40.93,0.0935055835653171,0.995618755268355
40.96,0.0984153343541884,0.995145427545113
40.99,0.100191512753845,0.994968170733163
41.02,0.0988024820211974,0.995107064363658
41.05,0.0942829686555624,0.995545439355475
41.08,0.0867323321140995,0.996231651056141
41.11,0.0763152159659573,0.997083741624578
41.14,0.063264348531697,0.997996804706738
41.17,0.0478863122427697,0.998852792507379
41.2,0.0305799235472724,0.999532324777868
41.23,0.0120181791745523,0.999927779076743
41.26,0.00931504675756238,0.999956614010781
41.29,0.0291999544359755,0.999573590417899
41.32,0.0493729927689799,0.998780410092753
41.35,0.0687871056702404,0.997631361823347
41.38,0.086706980268422,0.996233857873105
41.41,0.102401207707486,0.994743179247805
41.44,0.115123685161545,0.993351165054342
41.47,0.124107449036651,0.992268784701823
41.5,0.128555223701838,0.991702351746217
41.53,0.127625044408135,0.991822488170049
41.56,0.120413054023531,0.992723877229073
41.59,0.105939108275107,0.994372618960251
41.62,0.0831469662979247,0.996537295837667
41.65,0.0509516589346327,0.998701120682165
41.68,0.00910263819565329,0.999958570130725
41.71,0.0465688463292562,0.998915082753061
41.74,0.112631594442855,0.993636816917158
41.77,0.190251935927525,0.981735300819838
41.8,0.277616697995453,0.960691921998981
41.83,0.371406878827037,0.92847020973212
41.86,0.466955134918652,0.88428100848834
41.89,0.559047156934421,0.82913586119739
41.92,0.643082798031298,0.765796653737949
41.95,0.716036235452379,0.6980631128481
41.98,0.776773982331154,0.629779469634731
42.01,0.825735890181504,0.56405694718367
42.04,0.864315387852575,0.502950206602258
42.07,0.894275754431921,0.447516340523134
42.1,0.917359455143427,0.39805983226012
42.13,0.935092655613741,0.354403337198231
42.16,0.94872368870486,0.316106568249133
42.19,0.95923315768223,0.28261590401635
42.22,0.967373419815523,0.253354823586252
42.25,0.973715195723148,0.2277690005638
42.28,0.978660591487125,0.205483446219085
42.31,0.982593392691342,0.185769277974911
42.34,0.985704266184405,0.168484716297546
42.37,0.988188750116004,0.153241620143385
42.4,0.990185745571232,0.139757608979062
42.43,0.991800747115461,0.127793888825772
42.46,0.993114519461476,0.117147561796235
42.49,0.994189289837689,0.107645975178043
42.52,0.995073298635856,0.0991419706378543
42.55,0.995804170216436,0.0915098605591576
42.58,0.996411423801293,0.0846420375362137
42.61,0.996918353995395,0.0784461309888047
42.64,0.997343447004117,0.0728426298121265
42.67,0.997701453168171,0.0677628980056078
42.7,0.998004203604042,0.0631475224269498
42.73,0.998261232048123,0.0589449963081231
42.76,0.998480302868108,0.055109752171578
42.79,0.998667642675431,0.0516036769338979
42.82,0.998828433296779,0.0483917434889752
42.85,0.998966891842359,0.0454439105141398
42.88,0.999086500053608,0.0427336566494301
42.91,0.999190140877103,0.0402375741564546
42.94,0.999280210450787,0.0379349575119393
42.97,0.999358707667271,0.0358074490797804
43,0.999427305985656,0.0338387359435193
